始発停留所	山島台四丁目-B	南四十万二丁目	南部車庫（車庫内）	山島台四丁目-B	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	山島台四丁目-B	南四十万二丁目	山島台四丁目-B	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目				
始発時間	07:33	08:07	08:13	08:38	09:14	09:43	10:13	10:48	11:13	11:43	12:13	12:43	13:08	13:47	14:08	14:43	15:17	15:48	16:18	16:47	17:23	18:00	18:42	19:18	20:05	20:52				
終点時間	08:38	09:03	09:13	09:43	10:15	10:48	11:18	11:49	12:18	12:44	13:18	13:48	14:18	14:48	15:18	15:48	16:18	16:53	17:23	17:48	18:28	19:05	19:43	20:18	21:05	21:48				
終点停留所	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A				
備考					ノンステップバス			ノンステップバス			ノンステップバス											ノンステップバス		ノンステップバス		ノンステップバス				
六枚町（金石方向）	08:13	08:38	08:48	09:18	09:46	10:19	10:49	11:20	11:49	12:15	12:49	13:19	13:49	14:19	14:49	15:19	15:49	16:24	16:54	17:19	17:59	18:36	19:14	19:53	20:40	21:23				
中橋-A	08:14	08:39	08:49	09:19	09:47	10:20	10:50	11:21	11:50	12:16	12:50	13:20	13:50	14:20	14:50	15:20	15:50	16:25	16:55	17:20	18:00	18:37	19:15	19:54	20:41	21:24				
長田一丁目-A	08:15	08:40	08:50	09:20	09:48	10:21	10:51	11:22	11:51	12:17	12:51	13:21	13:51	14:21	14:51	15:21	15:51	16:26	16:56	17:21	18:01	18:38	19:16	19:55	20:42	21:25				
長田町-A	08:16	08:41	08:51	09:21	09:49	10:22	10:52	11:23	11:52	12:18	12:52	13:22	13:52	14:22	14:52	15:22	15:52	16:27	16:57	17:22	18:02	18:39	19:17	19:56	20:43	21:26				
中央市場口-A	08:17	08:42	08:52	09:22	09:50	10:23	10:53	11:24	11:53	12:19	12:53	13:23	13:53	14:23	14:53	15:23	15:53	16:28	16:58	17:23	18:03	18:40	19:18	19:57	20:44	21:27				
北町-A	08:19	08:44	08:54	09:24	09:52	10:25	10:55	11:26	11:55	12:21	12:55	13:25	13:55	14:25	14:55	15:25	15:55	16:30	17:00	17:25	18:05	18:42	19:20	19:59	20:46	21:29				
北町西-A	08:20	08:45	08:55	09:25	09:53	10:26	10:56	11:27	11:56	12:22	12:56	13:26	13:56	14:26	14:56	15:26	15:56	16:31	17:01	17:26	18:06	18:43	19:21	20:00	20:47	21:30				
藤江-A	08:22	08:47	08:57	09:27	09:55	10:28	10:58	11:29	11:58	12:24	12:58	13:28	13:58	14:28	14:58	15:28	15:58	16:33	17:03	17:28	18:08	18:45	19:23	20:02	20:49	21:32				
広岡口（朱鷺の苑前）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
金沢駅西口降車	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
